VehicleModel,VehicleYear,PartName,HoursOfOperation,SupplierName,ClaimDate,SettlementAmount,MaintenanceFrequency,EnvironmentCondition,OperationalIntensity,WarrantyStatus,PreviousFailures,pass_fail
,2017,Alternator,3125.0,MotoComponentsLtd,2018-01-16 05:19:18.386128709,528.3441982652083,500 hours,Urban,Light,Out of Warranty,4,fail
Model B,2019,Brake,3259.0,MotoComponentsLtd,2018-01-16 19:56:04.721573858,1249.694995460397,1000 hours,Mountainous,Heavy,In Warranty,4,pass
Model B,2019,Alternator,374.0,RideEquipCorp,2018-01-17 10:32:51.057019006,914.201146532086,1000 hours,Rural,Light,Out of Warranty,1,pass
,2021,Engine,2043.0,DriveLineTech,2018-01-18 01:09:37.392464154,1283.7572807368504,1500 hours,Mountainous,Heavy,Out of Warranty,4,pass
Model D,2017,Radiator,4026.0,AutoPartsCo,2018-01-18 15:46:23.727909303,1732.614603993489,500 hours,Rural,Light,In Warranty,0,fail
Model A,2021,Engine,4862.0,RideEquipCorp,2018-01-19 06:23:10.063354451,205.72002793540017,1500 hours,Coastal,Heavy,In Warranty,1,pass
Model A,2022,Brake,2820.0,AutoPartsCo,2018-01-19 20:59:56.398799599,1567.069630677486,500 hours,Rural,Heavy,Out of Warranty,3,pass
Model D,2021,Headlight,4422.0,DriveLineTech,2018-01-20 11:36:42.734244748,1011.4067538160267,1500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model B,2019,,2633.0,DriveLineTech,2018-01-21 02:13:29.069689896,1150.047540335893,1000 hours,Mountainous,Heavy,Out of Warranty,3,pass
Model B,2018,,3607.0,,2018-01-21 16:50:15.405135045,1325.1661520333846,500 hours,Coastal,Moderate,In Warranty,2,fail
Model A,2021,Headlight,3637.0,MotoComponentsLtd,2018-01-22 07:27:01.740580193,,500 hours,Mountainous,Light,Out of Warranty,0,fail
Model D,2015,Engine,201.0,DriveLineTech,2018-01-22 22:03:48.076025341,1606.0390942588883,500 hours,Coastal,Light,In Warranty,0,fail
Model A,2018,Radiator,1004.0,RideEquipCorp,2018-01-23 12:40:34.411470490,107.47888664267293,500 hours,Coastal,Moderate,Out of Warranty,3,fail
Model A,2017,Headlight,4404.0,MotoComponentsLtd,2018-01-24 03:17:20.746915638,,1500 hours,Mountainous,Light,Out of Warranty,4,pass
Model C,2017,Radiator,2421.0,AutoPartsCo,2018-01-24 17:54:07.082360787,1973.573065752136,1500 hours,Urban,Moderate,Out of Warranty,4,pass
Model C,2021,Brake,1241.0,RideEquipCorp,2018-01-25 08:30:53.417805935,1444.3989163866627,500 hours,Mountainous,Light,Out of Warranty,2,pass
Model C,2018,,737.0,RideEquipCorp,2018-01-25 23:07:39.753251083,1248.5501821562787,500 hours,Mountainous,Moderate,Out of Warranty,3,fail
Model B,2019,Alternator,359.0,AutoPartsCo,2018-01-26 13:44:26.088696232,141.7261541587584,500 hours,Rural,Moderate,Out of Warranty,2,pass
Model D,2019,Alternator,1552.0,MotoComponentsLtd,2018-01-27 04:21:12.424141380,1764.2649365912814,1500 hours,Mountainous,Heavy,Out of Warranty,3,pass
Model D,2020,,3177.0,RideEquipCorp,2018-01-27 18:57:58.759586529,1634.875863929461,500 hours,Rural,Light,In Warranty,2,pass
Model D,2017,Radiator,4618.0,RideEquipCorp,2018-01-28 09:34:45.095031677,,500 hours,Rural,Heavy,Out of Warranty,3,pass
Model D,2016,Brake,3417.0,RideEquipCorp,2018-01-29 00:11:31.430476825,711.3050901951702,500 hours,Mountainous,Moderate,Out of Warranty,0,fail
Model C,2020,Alternator,3445.0,MotoComponentsLtd,2018-01-29 14:48:17.765921974,187.48466335810176,1500 hours,Coastal,Heavy,Out of Warranty,2,fail
Model B,2019,Brake,863.0,,2018-01-30 05:25:04.101367122,1181.0750514067988,,Urban,Moderate,Out of Warranty,2,pass
Model B,2018,Brake,895.0,MotoComponentsLtd,2018-01-30 20:01:50.436812271,1453.404414348633,1000 hours,Mountainous,Light,In Warranty,3,pass
Model C,2022,Radiator,1214.0,RideEquipCorp,2018-01-31 10:38:36.772257419,233.7686834306325,1500 hours,Mountainous,Light,In Warranty,1,fail
Model B,2019,Headlight,4812.0,DriveLineTech,2018-02-01 01:15:23.107702567,1285.846936607067,1000 hours,Coastal,Light,Out of Warranty,1,fail
Model C,2018,Alternator,1817.0,AutoPartsCo,2018-02-01 15:52:09.443147716,608.4138323799592,500 hours,Rural,Moderate,Out of Warranty,0,pass
Model D,2020,Radiator,404.0,DriveLineTech,2018-02-02 06:28:55.778592864,1540.276231378633,500 hours,Coastal,Heavy,In Warranty,4,pass
Model C,2017,Brake,1922.0,MotoComponentsLtd,2018-02-02 21:05:42.114038012,1102.2509086735822,1500 hours,Coastal,Light,In Warranty,4,pass
Model D,2019,Brake,2074.0,RideEquipCorp,2018-02-03 11:42:28.449483161,301.62173623035153,1500 hours,Rural,Moderate,In Warranty,0,pass
Model D,2021,Headlight,2867.0,RideEquipCorp,2018-02-04 02:19:14.784928309,10767.129230798102,1000 hours,Mountainous,Heavy,Out of Warranty,4,fail
Model A,2018,Alternator,3882.0,DriveLineTech,2018-02-04 16:56:01.120373458,821.6868835651013,1000 hours,,Moderate,In Warranty,3,pass
Model C,2017,Alternator,4325.0,DriveLineTech,2018-02-05 07:32:47.455818606,401.6941381492212,500 hours,Coastal,Moderate,In Warranty,1,pass
Model A,2022,Engine,115.0,AutoPartsCo,2018-02-05 22:09:33.791263754,,1500 hours,Mountainous,Light,Out of Warranty,0,pass
Model C,2022,Alternator,4965.0,RideEquipCorp,2018-02-06 12:46:20.126708903,,1000 hours,Mountainous,Moderate,Out of Warranty,3,pass
Model C,2016,Headlight,4316.0,DriveLineTech,2018-02-07 03:23:06.462154051,658.6501399123066,1000 hours,Urban,Moderate,Out of Warranty,0,pass
Model A,2018,Engine,4140.0,AutoPartsCo,2018-02-07 17:59:52.797599199,74.56032443038217,500 hours,Coastal,Heavy,In Warranty,1,pass
Model A,2020,Engine,2571.0,MotoComponentsLtd,2018-02-08 08:36:39.133044348,237.21354568699778,500 hours,Urban,Light,In Warranty,4,pass
Model C,2016,Brake,2631.0,DriveLineTech,2018-02-08 23:13:25.468489496,629.3376273875081,500 hours,Rural,Moderate,In Warranty,3,pass
Model B,2016,Brake,1440.0,MotoComponentsLtd,2018-02-09 13:50:11.803934645,155.8288115092785,500 hours,Mountainous,Moderate,In Warranty,1,pass
Model D,2015,Alternator,1180.0,AutoPartsCo,2018-02-10 04:26:58.139379793,1213.4295380964252,1000 hours,Mountainous,Heavy,Out of Warranty,0,pass
Model A,2019,Engine,2536.0,MotoComponentsLtd,2018-02-10 19:03:44.474824941,219.38267057305643,,Urban,Moderate,In Warranty,2,pass
Model D,2018,Brake,884.0,RideEquipCorp,2018-02-11 09:40:30.810270090,1418.3415864288856,1500 hours,Coastal,Moderate,Out of Warranty,3,pass
Model B,2016,Headlight,276.0,RideEquipCorp,2018-02-12 00:17:17.145715238,152.65211962296416,500 hours,Rural,Moderate,In Warranty,0,pass
Model B,2015,Brake,3565.0,MotoComponentsLtd,2018-02-12 14:54:03.481160387,165.65234486213876,500 hours,Coastal,Moderate,In Warranty,0,pass
Model B,2020,Brake,4587.0,RideEquipCorp,2018-02-13 05:30:49.816605535,645.3855031148694,1000 hours,Coastal,Moderate,In Warranty,1,fail
Model A,2017,Engine,,AutoPartsCo,2018-02-13 20:07:36.152050683,1798.314473690091,500 hours,Urban,Heavy,Out of Warranty,0,fail
Model B,2021,Engine,777.0,RideEquipCorp,2018-02-14 10:44:22.487495832,1300.716835010467,1500 hours,Coastal,Moderate,In Warranty,3,pass
Model A,2021,Radiator,3736.0,MotoComponentsLtd,2018-02-15 01:21:08.822940980,1551.7560192613928,500 hours,Urban,Moderate,Out of Warranty,3,fail
Model B,2018,Headlight,3672.0,MotoComponentsLtd,2018-02-15 15:57:55.158386128,326.0266134803568,1500 hours,Mountainous,Moderate,Out of Warranty,0,pass
Model D,2016,Engine,1086.0,MotoComponentsLtd,2018-02-16 06:34:41.493831277,16765.445948321292,500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model D,2021,Alternator,1882.0,DriveLineTech,2018-02-16 21:11:27.829276425,65.88518397875855,500 hours,Mountainous,Light,Out of Warranty,3,pass
Model C,2019,Headlight,2790.0,MotoComponentsLtd,2018-02-17 11:48:14.164721574,465.46183392936194,1500 hours,Rural,Light,In Warranty,2,pass
Model D,2021,Headlight,542.0,AutoPartsCo,2018-02-18 02:25:00.500166722,1251.3800262424872,1000 hours,Rural,Light,In Warranty,4,pass
Model C,2021,Engine,15980.0,RideEquipCorp,2018-02-18 17:01:46.835611870,781.7304967583982,1000 hours,Coastal,Light,Out of Warranty,1,pass
Model D,2021,Headlight,1193.0,,2018-02-19 07:38:33.171057019,1969.1771138511988,500 hours,Urban,Heavy,Out of Warranty,1,fail
Model A,2022,Engine,4007.0,DriveLineTech,2018-02-19 22:15:19.506502167,109.16153129572055,500 hours,Coastal,Light,In Warranty,4,pass
Model D,2015,Brake,3457.0,DriveLineTech,2018-02-20 12:52:05.841947316,1997.2664274762592,1500 hours,,Heavy,In Warranty,4,pass
Model C,2016,Radiator,689.0,AutoPartsCo,2018-02-21 03:28:52.177392464,1266.0742740795663,1500 hours,Coastal,Light,Out of Warranty,3,pass
Model C,2019,Brake,222.0,MotoComponentsLtd,2018-02-21 18:05:38.512837612,1139.4786394623882,500 hours,Coastal,Heavy,In Warranty,0,pass
Model B,2016,Engine,4404.0,DriveLineTech,2018-02-22 08:42:24.848282761,166.04926299975,1500 hours,,Light,In Warranty,0,fail
Model A,2022,Engine,4009.0,RideEquipCorp,2018-02-22 23:19:11.183727909,582.9913094984868,1000 hours,Mountainous,Moderate,In Warranty,2,fail
Model D,2018,Brake,566.0,DriveLineTech,2018-02-23 13:55:57.519173058,1853.0922421686116,,Urban,Light,Out of Warranty,0,fail
Model B,2018,Alternator,,DriveLineTech,2018-02-24 04:32:43.854618206,740.7797062190264,1500 hours,Coastal,Light,Out of Warranty,2,pass
,2018,Alternator,1967.0,MotoComponentsLtd,2018-02-24 19:09:30.190063354,,,Mountainous,Light,Out of Warranty,2,pass
Model D,2020,Alternator,2936.0,DriveLineTech,2018-02-25 09:46:16.525508503,1999.0178833165073,1500 hours,Rural,Moderate,Out of Warranty,1,pass
Model B,2021,Engine,2214.0,AutoPartsCo,2018-02-26 00:23:02.860953651,562.9859419754052,1000 hours,Urban,Heavy,Out of Warranty,1,pass
Model B,2020,Headlight,1979.0,RideEquipCorp,2018-02-26 14:59:49.196398800,1173.357714078263,500 hours,Mountainous,Heavy,In Warranty,3,pass
Model B,2015,,3995.0,MotoComponentsLtd,2018-02-27 05:36:35.531843948,1408.0536957693157,1500 hours,,Moderate,In Warranty,4,fail
Model B,2018,Headlight,2259.0,,2018-02-27 20:13:21.867289096,371.0231308025596,1500 hours,Mountainous,Light,In Warranty,4,pass
Model B,2022,Brake,3833.0,AutoPartsCo,2018-02-28 10:50:08.202734245,339.9114992075551,1500 hours,Urban,Light,Out of Warranty,2,pass
Model D,2019,Radiator,2640.0,AutoPartsCo,2018-03-01 01:26:54.538179393,939.8004277334379,500 hours,Coastal,Light,In Warranty,4,fail
Model B,2016,Headlight,4984.0,DriveLineTech,2018-03-01 16:03:40.873624542,802.3344174306143,1500 hours,Rural,Heavy,Out of Warranty,2,fail
Model A,2021,Alternator,4126.0,DriveLineTech,2018-03-02 06:40:27.209069690,1442.720101871762,1500 hours,Rural,Heavy,Out of Warranty,4,pass
Model C,2017,,1143.0,DriveLineTech,2018-03-02 21:17:13.544514838,185.54210432474318,1000 hours,Rural,Moderate,Out of Warranty,3,pass
Model B,2019,Brake,3930.0,,2018-03-03 11:53:59.879959987,1945.7249162943463,1500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model B,2021,Alternator,2544.0,AutoPartsCo,2018-03-04 02:30:46.215405135,77.8401142873731,1000 hours,Urban,Heavy,Out of Warranty,1,pass
Model D,2020,Brake,2629.0,MotoComponentsLtd,2018-03-04 17:07:32.550850283,1222.5678074554949,500 hours,Rural,Light,Out of Warranty,2,pass
Model B,2020,Radiator,2538.0,DriveLineTech,2018-03-05 07:44:18.886295432,1147.1335619414072,,Coastal,Light,In Warranty,4,pass
Model B,2019,Engine,2835.0,RideEquipCorp,2018-03-05 22:21:05.221740580,312.69567519596524,1500 hours,Coastal,Light,Out of Warranty,0,pass
Model B,2020,Engine,2808.0,DriveLineTech,2018-03-06 12:57:51.557185729,,1000 hours,Coastal,Light,In Warranty,3,pass
Model D,2018,Radiator,1624.0,AutoPartsCo,2018-03-07 03:34:37.892630877,1595.7211011995223,500 hours,Mountainous,Moderate,Out of Warranty,4,fail
Model B,2015,Engine,24230.0,MotoComponentsLtd,2018-03-07 18:11:24.228076025,1780.7467939047322,500 hours,Urban,Moderate,In Warranty,0,fail
Model C,2016,Headlight,4040.0,AutoPartsCo,2018-03-08 08:48:10.563521174,601.8830834733507,1000 hours,Urban,Heavy,Out of Warranty,3,pass
Model D,2015,Brake,4895.0,RideEquipCorp,2018-03-08 23:24:56.898966322,904.0297297270084,500 hours,,Moderate,Out of Warranty,3,fail
Model C,2021,Alternator,1143.0,DriveLineTech,2018-03-09 14:01:43.234411470,742.2403300247894,,Urban,Light,In Warranty,1,pass
Model D,2016,Radiator,1239.0,AutoPartsCo,2018-03-10 04:38:29.569856619,191.4666753239712,500 hours,Coastal,Heavy,Out of Warranty,2,pass
Model B,2022,Headlight,2739.0,RideEquipCorp,2018-03-10 19:15:15.905301767,1362.7482797308285,500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model C,2016,Alternator,4145.0,DriveLineTech,2018-03-11 09:52:02.240746916,1659.1262228710957,500 hours,Mountainous,Moderate,In Warranty,3,pass
Model D,2015,,1925.0,MotoComponentsLtd,2018-03-12 00:28:48.576192064,644.5147469128539,500 hours,Coastal,Moderate,In Warranty,4,pass
Model A,2019,Radiator,,AutoPartsCo,2018-03-12 15:05:34.911637212,,500 hours,Urban,Moderate,Out of Warranty,3,fail
Model B,2016,Headlight,1837.0,DriveLineTech,2018-03-13 05:42:21.247082361,197.9105367005921,500 hours,Coastal,Moderate,In Warranty,1,pass
Model D,2022,Alternator,3982.0,DriveLineTech,2018-03-13 20:19:07.582527509,1340.4918919383158,1500 hours,Rural,Light,In Warranty,2,fail
Model A,2022,Alternator,1657.0,DriveLineTech,2018-03-14 10:55:53.917972658,924.0446283258734,1000 hours,Mountainous,Light,Out of Warranty,0,pass
Model D,2022,Headlight,,DriveLineTech,2018-03-15 01:32:40.253417806,920.873707157979,500 hours,Mountainous,Light,In Warranty,0,pass
Model A,2015,Engine,98.0,AutoPartsCo,2018-03-15 16:09:26.588862954,942.4089512654035,1000 hours,Urban,Moderate,Out of Warranty,1,pass
,2016,,3911.0,DriveLineTech,2018-03-16 06:46:12.924308103,,500 hours,,Heavy,In Warranty,3,pass
Model C,2017,Brake,2230.0,RideEquipCorp,2018-03-16 21:22:59.259753251,1445.3475132978533,500 hours,Coastal,Light,Out of Warranty,1,pass
Model A,2019,Headlight,3096.0,AutoPartsCo,2018-03-17 11:59:45.595198399,1457.0742258658024,1500 hours,Urban,Light,Out of Warranty,2,pass
Model D,2018,Alternator,2883.0,DriveLineTech,2018-03-18 02:36:31.930643548,600.6743647063627,1000 hours,Urban,Moderate,Out of Warranty,0,pass
Model B,2016,Radiator,1447.0,AutoPartsCo,2018-03-18 17:13:18.266088696,1678.847598673978,1000 hours,Rural,Heavy,In Warranty,4,pass
Model A,2022,,3876.0,RideEquipCorp,2018-03-19 07:50:04.601533845,667.8476401181435,1500 hours,,Light,Out of Warranty,0,pass
Model D,2017,Alternator,4624.0,RideEquipCorp,2018-03-19 22:26:50.936978993,1463.9315917737574,1500 hours,Coastal,Light,In Warranty,2,pass
Model D,2018,Brake,881.0,AutoPartsCo,2018-03-20 13:03:37.272424141,285.9495466485295,1000 hours,Rural,Heavy,Out of Warranty,3,pass
Model D,2018,Brake,2747.0,,2018-03-21 03:40:23.607869290,378.968203467304,500 hours,,Moderate,Out of Warranty,1,fail
Model A,2021,Engine,4827.0,DriveLineTech,2018-03-21 18:17:09.943314438,665.8015067910898,500 hours,Coastal,Heavy,Out of Warranty,0,fail
Model A,2016,Brake,2785.0,RideEquipCorp,2018-03-22 08:53:56.278759587,1208.0538469523299,,Mountainous,Moderate,In Warranty,0,pass
Model A,2015,Engine,131.0,DriveLineTech,2018-03-22 23:30:42.614204735,1308.7473966834636,500 hours,Mountainous,Light,Out of Warranty,4,pass
Model C,2016,Headlight,136.0,RideEquipCorp,2018-03-23 14:07:28.949649883,822.8945353365759,1500 hours,Mountainous,Heavy,Out of Warranty,1,pass
Model A,2017,Engine,2113.0,DriveLineTech,2018-03-24 04:44:15.285095032,201.78634856550238,1500 hours,Coastal,Heavy,In Warranty,4,fail
Model A,2018,Radiator,871.0,,2018-03-24 19:21:01.620540180,778.5875715808123,1500 hours,Mountainous,Light,Out of Warranty,4,pass
Model A,2016,Alternator,212.0,MotoComponentsLtd,2018-03-25 09:57:47.955985328,1393.0966561203454,1000 hours,Coastal,Light,Out of Warranty,3,pass
Model C,2015,,3789.0,DriveLineTech,2018-03-26 00:34:34.291430477,1358.441149204116,1000 hours,Mountainous,Moderate,In Warranty,0,pass
Model A,2021,Headlight,2447.0,DriveLineTech,2018-03-26 15:11:20.626875625,362.3830057506134,1000 hours,Urban,Light,In Warranty,1,pass
Model D,2016,Radiator,1982.0,DriveLineTech,2018-03-27 05:48:06.962320774,65.17874202448596,500 hours,Urban,Light,In Warranty,3,fail
Model A,2019,Engine,2778.0,AutoPartsCo,2018-03-27 20:24:53.297765922,1518.3141537274278,1000 hours,Coastal,Heavy,Out of Warranty,3,fail
,2021,Alternator,3585.0,DriveLineTech,2018-03-28 11:01:39.633211070,257.41792445122525,1000 hours,,Moderate,In Warranty,3,pass
Model D,2015,Engine,3496.0,AutoPartsCo,2018-03-29 01:38:25.968656219,210.58083073035672,,Mountainous,Light,Out of Warranty,2,fail
Model D,2017,Brake,2840.0,AutoPartsCo,2018-03-29 16:15:12.304101367,552.6737282661876,500 hours,Mountainous,Heavy,Out of Warranty,2,pass
Model C,2018,Engine,2757.0,RideEquipCorp,2018-03-30 06:51:58.639546516,893.5725856160082,500 hours,Urban,Light,In Warranty,3,fail
Model C,2016,Headlight,3983.0,AutoPartsCo,2018-03-30 21:28:44.974991664,1031.364606756588,1500 hours,Mountainous,Light,In Warranty,2,fail
Model C,2015,Alternator,3435.0,AutoPartsCo,2018-03-31 12:05:31.310436812,1293.4448899897518,500 hours,,Light,Out of Warranty,1,pass
Model A,2021,Engine,9720.0,MotoComponentsLtd,2018-04-01 02:42:17.645881961,627.3244893895424,1000 hours,Coastal,Light,In Warranty,0,fail
Model D,2019,Alternator,,DriveLineTech,2018-04-01 17:19:03.981327109,,500 hours,Mountainous,Moderate,In Warranty,1,pass
Model C,2015,Alternator,1632.0,AutoPartsCo,2018-04-02 07:55:50.316772257,380.19712194353605,1500 hours,Urban,Heavy,Out of Warranty,0,pass
Model C,2020,Brake,614.0,DriveLineTech,2018-04-02 22:32:36.652217406,1672.3806035651774,500 hours,Mountainous,Heavy,In Warranty,2,pass
Model A,2022,Brake,3308.0,AutoPartsCo,2018-04-03 13:09:22.987662554,1165.104241336369,1500 hours,Urban,Light,In Warranty,1,pass
Model C,2019,Headlight,2647.0,RideEquipCorp,2018-04-04 03:46:09.323107703,1188.5851555754944,1000 hours,Urban,Heavy,In Warranty,4,pass
Model A,2021,Radiator,2550.0,MotoComponentsLtd,2018-04-04 18:22:55.658552851,4590.620568692609,1000 hours,Rural,Light,Out of Warranty,3,pass
Model B,2017,Alternator,4616.0,AutoPartsCo,2018-04-05 08:59:41.993997999,194.51206113575708,1500 hours,Urban,Heavy,In Warranty,0,fail
Model C,2018,Radiator,1037.0,DriveLineTech,2018-04-05 23:36:28.329443148,956.2133660073093,1000 hours,Rural,Moderate,In Warranty,0,pass
Model B,2021,Headlight,3686.0,RideEquipCorp,2018-04-06 14:13:14.664888296,1250.4433062486,1000 hours,Rural,Moderate,Out of Warranty,4,pass
Model A,2022,Alternator,273.0,DriveLineTech,2018-04-07 04:50:01.000333444,235.34059439028692,500 hours,Mountainous,Heavy,Out of Warranty,4,pass
Model D,2017,Alternator,400.0,RideEquipCorp,2018-04-07 19:26:47.335778593,1903.542225329925,1000 hours,Rural,Light,Out of Warranty,3,pass
Model C,2016,Radiator,1978.0,MotoComponentsLtd,2018-04-08 10:03:33.671223741,1961.8080024539734,1500 hours,Coastal,Light,Out of Warranty,2,pass
,2015,Engine,398.0,RideEquipCorp,2018-04-09 00:40:20.006668890,1113.6405560153594,1000 hours,Urban,Light,In Warranty,1,pass
Model D,2020,Brake,4327.0,DriveLineTech,2018-04-09 15:17:06.342114038,1902.6348527831422,500 hours,Coastal,Light,Out of Warranty,1,fail
Model D,2019,Engine,4782.0,DriveLineTech,2018-04-10 05:53:52.677559186,399.9182132826635,1500 hours,Rural,Moderate,Out of Warranty,1,pass
Model B,2019,Radiator,1067.0,,2018-04-10 20:30:39.013004335,99.57033610007355,1000 hours,Mountainous,Light,In Warranty,2,pass
Model A,2015,Brake,2276.0,RideEquipCorp,2018-04-11 11:07:25.348449483,126.84859381626036,1000 hours,Urban,Light,Out of Warranty,3,fail
Model D,2020,Engine,4917.0,DriveLineTech,2018-04-12 01:44:11.683894632,1195.6493348822191,1000 hours,Coastal,Light,Out of Warranty,1,pass
Model C,2015,Brake,4174.0,AutoPartsCo,2018-04-12 16:20:58.019339780,170.20167270180588,1500 hours,Mountainous,Light,In Warranty,0,pass
Model C,2016,Alternator,,MotoComponentsLtd,2018-04-13 06:57:44.354784928,1919.1639333069697,500 hours,Rural,Moderate,Out of Warranty,0,pass
Model B,2022,Engine,1943.0,DriveLineTech,2018-04-13 21:34:30.690230077,326.76976098082724,1500 hours,Mountainous,Heavy,Out of Warranty,0,fail
Model D,2017,Brake,3090.0,AutoPartsCo,2018-04-14 12:11:17.025675225,644.2094718033084,1500 hours,Coastal,Heavy,In Warranty,4,fail
Model A,2021,,2118.0,DriveLineTech,2018-04-15 02:48:03.361120373,,500 hours,Mountainous,Light,In Warranty,4,fail
Model C,2019,Brake,1175.0,RideEquipCorp,2018-04-15 17:24:49.696565522,4765.436300529815,1500 hours,Coastal,Light,In Warranty,2,pass
Model D,2016,Engine,3167.0,AutoPartsCo,2018-04-16 08:01:36.032010670,523.7884939864127,1500 hours,,Heavy,In Warranty,1,pass
Model D,2017,Headlight,4211.0,RideEquipCorp,2018-04-16 22:38:22.367455818,1302.5024637924855,1000 hours,Urban,Moderate,In Warranty,4,fail
Model B,2016,Engine,4092.0,MotoComponentsLtd,2018-04-17 13:15:08.702900966,588.3678725540615,1500 hours,Mountainous,Moderate,In Warranty,0,pass
Model C,2020,Radiator,4483.0,RideEquipCorp,2018-04-18 03:51:55.038346116,474.02288631501557,1000 hours,Urban,Moderate,In Warranty,4,pass
Model C,2019,Engine,2220.0,AutoPartsCo,2018-04-18 18:28:41.373791264,545.6465428960321,1500 hours,Coastal,Moderate,In Warranty,0,fail
,2021,Brake,496.0,DriveLineTech,2018-04-19 09:05:27.709236412,1006.7626237144173,1000 hours,Urban,Moderate,In Warranty,1,pass
Model C,2015,Alternator,2708.0,AutoPartsCo,2018-04-19 23:42:14.044681560,1933.8947518263901,1000 hours,Mountainous,Moderate,In Warranty,2,pass
Model A,2015,Engine,3412.0,,2018-04-20 14:19:00.380126708,,1000 hours,Urban,Moderate,In Warranty,3,fail
Model C,2017,Engine,,RideEquipCorp,2018-04-21 04:55:46.715571858,604.9900158923454,500 hours,Coastal,Moderate,In Warranty,3,pass
